Obs Point,G_anomaly
0.074081373,9.663205732
0.294446735,9.838078827
0.839209909,10.49870658
1.604458796,11.25647818
2.462517412,12.07253785
3.158093963,12.83030945
3.796027877,13.3160641
4.457274401,13.74352182
5.072016057,14.20984417
5.663349571,14.79274267
6.092406311,15.18134463
6.788915472,15.33678541
7.985091612,15.27849733
9.204610437,15.14248886
10.07557649,15.12305655
10.59849591,14.88989537
10.95875806,14.71502228
11.70264452,14.26813225
12.58648793,13.43264026
13.33089112,12.65543635
14.48232677,11.48963935
15.55272225,10.1683927
16.7509742,8.769425667
17.87987945,7.156729771
19.10174484,5.50517811
20.39334804,3.814761823
21.92902029,1.988337068
23.04592592,0.628234658
24.24450351,-0.984461238
25.23340223,-2.169690554
26.29220867,-3.510369512
27.56040901,-5.084200782
28.78182314,-6.444303193
29.45624785,-7.027201694
30.22348231,-7.551820978
31.25810899,-8.270727948
32.35115522,-9.222804952
33.47894735,-10.11658502
34.4442875,-11.08808547
34.97933217,-11.65156052
35.43291017,-12.09845055
36.22295108,-12.35104404
37.07087,-12.48705251
38.34848272,-12.64249329
39.63740841,-12.60362866
40.32209317,-12.31217941
41.0878234,-11.86528938
42.29434454,-11.10751779
43.3724128,-9.883423844
44.23008031,-8.814770685
45.29589769,-7.182642476
46.36132927,-5.297929642
47.07916547,-3.918394919
47.99330234,-1.819953225
49.22001261,0.900260456
50.38883958,3.50388026
51.53399294,6.398958175
52.91078926,9.682638045
53.80197454,11.6062155
54.72838178,13.27719948
55.58554316,14.67616651
56.52413582,15.97798085
56.88349015,16.38600625
57.31243185,16.8523286
57.86850271,17.7072529
58.38968254,18.60103296
58.64449298,19.02849954
59.36398381,19.33938111
60.25775633,19.59196573
61.55801981,19.80569459
62.30100903,19.94171192
63.00930723,19.98056769
63.78740338,19.94171192
64.3683919,19.70855075
65.12374177,19.35880456
65.86730261,19.12564339
66.98236779,18.95077915
68.271474,18.87305876
68.84045232,18.89248221
69.49042123,19.10621994
69.9895467,19.2422284
70.54673598,19.37823687
71.20849392,19.47538958
71.74228036,19.7279742
72.29901307,20.15544078
72.84431777,20.46632235
73.32022089,20.60233081
74.0863723,20.77720391
74.67875876,20.68005121
75.37704289,19.68911844
75.86608883,18.83419414
